state,region,year,total_all_classes_of_crime_in_state,violent_crime_in_state,property_crime_in_state,murder_and_nonnegligent_manslaughter_in_state,rape_in_state,robbery_in_state,aggravated_assault_in_state,burglary_in_state,larceny_theft_in_state,motor_vehicle_theft_in_state,arson_in_state,other_assaults_in_state,forgery_and_counterfeiting_in_state,fraud_in_state,embezzlement_in_state,stolen_property_buying_receiving_possessing_in_state,vandalism_in_state,weapons_carrying_possessing_etc_in_state,prostitution_and_commercialized_vice_in_state,sex_offenses_except_rape_and_prostitution_in_state,drug_abuse_violations_in_state,gambling_in_state,offenses_against_the_family_and_children_in_state,driving_under_the_influence_in_state,liquor_laws_in_state,drunkenness_in_state,disorderly_conduct_in_state,vagrancy_in_state,all_other_offenses_except_traffic_in_state,suspicion_in_state,curfew_and_loitering_law_violations_in_state
Delaware,Northeast,2019,30038,1898,5422,20,75,383,1420,745,4461,192,24,6400,219,1312,162,365,849,325,82,101,3815,20,157,452,539,356,1138,229,6157,0,40
Maine,Northeast,2019,38973,685,5010,10,63,89,523,502,4266,197,45,4792,145,401,41,98,981,137,51,175,3600,3,154,5444,1577,13,1232,2,14427,2,3
Maryland,Northeast,2019,181677,10256,21791,254,528,3292,6182,3634,16022,1913,222,22532,399,843,118,275,2738,3768,633,728,30005,58,1810,18160,4206,44,5018,227,57984,48,36
Massachusetts,Northeast,2019,101553,6262,9561,38,310,563,5351,1370,7621,509,61,16622,409,991,81,762,1947,891,348,327,7119,18,1025,9426,1152,4685,3532,53,36341,1,0
New Hampshire,Northeast,2019,43960,723,3370,15,89,129,490,246,2962,148,14,5357,226,728,80,455,1139,119,49,128,5584,3,144,5116,1783,3839,908,94,14105,0,10
New Jersey,Northeast,2019,257734,9294,22277,184,356,2063,6691,3309,18200,647,121,20570,950,3852,212,2482,3068,3791,770,1026,55611,169,7379,21112,1825,66,11207,168,91406,97,402
New York,Northeast,2019,218837,10788,38303,197,988,2222,7381,3866,32464,1755,218,24101,1732,3497,20,2239,11841,2814,499,1544,55575,32,514,25059,529,0,3769,755,35226,0,0
Pennsylvania,Northeast,2019,91934,4774,11136,105,220,701,3748,1250,9371,424,91,11187,721,1794,131,612,1837,1171,138,594,14931,32,733,12468,1522,6593,8380,89,12810,0,281
Rhode Island,Northeast,2019,25403,907,2512,10,106,107,684,486,1843,138,45,4056,160,594,109,275,936,363,43,87,1866,5,77,2483,278,28,2249,4,8357,0,14
Vermont,Northeast,2019,15719,863,1984,10,94,52,707,256,1640,74,14,1766,43,317,58,94,424,38,3,37,927,0,219,2680,57,0,941,0,5268,0,0
